sku,name,category,subcategory,description,moq,gst_rate,base_price,list_price,has_sizes,image,lead_time_days,active,sort_order,related_skus,auto_related_skus,event_tags
ARTIS-001,Artistix Avian Laptop Backpack,Backpacks,Backpacks,"Brand: Artistix


- Premium water-repellent nylon construction with smooth zippers.
- Spacious 32L capacity with padded laptop/tablet compartment and organizer pockets.
- Hidden anti-theft back pocket for added security.
- Built-in USB charging port for convenient charging on the go.
- Side pockets, front utility pocket, and magnetic flap closure for easy access.
- Trolley strap, soft handle, and padded shoulder straps for travel comfort.
- Dimensions: 46 x 32 x 20 cm | Weight: 1.2 kg | Color: Black.
- Designed and Made in India.",25,18,3359,4199,FALSE,https://cdn.store.link/products/store18473/5xjk73-artis-001.png?versionId=94B4hbgFeXLOPQhDauB_RE8QVtXyzBTb,14,TRUE,0,,,
OW-NMDBLK,"Nomad Laptop Backpack for Laptops up to 15.6"" with Integrated Dual USB Type-C Fast-Charging Upto 35 Watts (Black)",Backpacks,Backpacks,"Brand: Okami



- The Nomad Backpack by Okami is designed as a versatile, premium backpack suitable for work, travel, and everyday use.
- Built to seamlessly adapt from work to leisure, making it an ideal all-day, dawn-to-dusk companion.
- Features a dedicated laptop compartment for devices up to 15.6 inches, with suspension-mounted technology and a retractable strap for enhanced protection against drops.
- Equipped with OkamiTech proprietary dual USB Type-C system, offering up to 35W fast charging along with a standard USB port integrated into the side panel.
- Includes dual quick-access side pockets, three front pockets, and a multi-utility organizer for efficient storage.
- Designed with a deep top-loading main compartment featuring an internal organizer and a metal key hook for convenience.
- Made using durable water-resistant fabric and zippers, engineered in collaboration with DRYE by Okami.
- Combines functionality, organization, and premium design for modern, on-the-go lifestyles.",100,18,4239,5299,TRUE,https://cdn.store.link/products/store18473/4n-nk5-nomad%20classic.png?versionId=ht23coATHTwlKWLAHODjKJbhOLRszJPg,7,TRUE,1,,,
MOKO-018,Transit Backpack,Backpacks,Backpacks,"Brand: Mokobara

- Incredible functionality with a sleek minimalist design.
- Crafted with durable, water-resistant materials and premium zippers.
- Front compartment houses pen pockets, slip pockets and a zipper pocket.
- Dedicated tech compartment will hold your laptop, books and chargers securely.
- Padded laptop compartment that fits up to a 15 inch laptop with a strap lock & a 180 ° flat opening for easy access.
- Has two hidden water bottle/umbrella compartments. 
- Has a silicon grab handle & ergonomic shoulder straps designed for extra comfort. Straps feature easy length adjustment buckles.
- Luggage sleeve secures to any Mokobara suitcase for a smooth ride.
- Splendidly sized: 42 x 26 x 15.5 cms.",25,18,7199,8999,FALSE,https://cdn.store.link/products/store18473/ondpgt-mokobara%20transit%20backpack%20-%2020l.png?versionId=9RbLo6q1nHHcWh2Ko2J4Gf1_i9VoiNEA,7,TRUE,2,,,
CSUN-0273,travelXOXO Aksa Laptop Backpack,Backpacks,Backpacks,"Brand: travelXOXO

- Crafted from durable 210D Nylon for strength and longevity
- Two main compartments, a front pocket, and a side pocket for organized storage
- Haul loop and padded back system for comfort and easy carrying
- Ideal for everyday use
- Size: 46 x 33 x 19 cm",50,18,1050,1750,FALSE,https://cdn.store.link/products/store18473/jlyli7-csun-0273.png?versionId=89Vw.EcDF4yqyQ6SqBpCMJw0LtQGMLrE,14,TRUE,3,,,New Joinee Program
CSUN-1220,travelXOXO Bounce Roll Top Backpack - Grey,Backpacks,Backpacks,"Brand: travelXOXO

- Minimalistic design with a wide-mouth zippered opening for easy access
- Roll-top for maximum flexibility and additional storage
- Internal foam-padded laptop compartment fits a 15"" laptop
- Stylish and functional choice for everyday use
- Size: Cm 28 W x 40 H x 13 D rolled, Cm 28 W x 58 H x 13 D unrolled",50,18,1620,2700,FALSE,https://cdn.store.link/products/store18473/i-7rwy-csun-1220%20%281%29.jpg?versionId=88MQ4a3fRDX8l3pbxIPo1Y.l6FxXYZcO,14,TRUE,4,,,
CSUN-3350,travelXOXO Canvas Stylish Backpack,Backpacks,Backpacks,"Brand: travelXOXO


- Crafted from durable canvas with premium vegan leather accents for a stylish and long-lasting finish.
- Spacious main compartment accommodates laptops up to 14 inches with ease.
- Features a vertical contrast stripe on the front for a modern and distinctive look.
- Includes a large front zippered pocket for quick access to everyday essentials.
- Side slip pockets provide convenient storage for water bottles or accessories.
- Padded shoulder straps and a breathable air-mesh back panel ensure enhanced carrying comfort.
- Well-balanced design helps distribute weight evenly for comfortable all-day use.
- Sturdy top grab handle allows for easy carrying.
- Made using eco-friendly, sustainable vegan leather, offering a more responsible choice.",25,18,2130,3550,FALSE,https://cdn.store.link/products/store18473/hp8bg--travelxoxo-stylish-backpack.jpg?versionId=Gy8S9wacUyyyd8umhhkcE.fseqTdGFfg,7,TRUE,5,,,
CSUN-3340,travelXOXO Izalco Casual Backpack,Backpacks,Backpacks,"Brand: travelXOXO


- Crafted from 100% lightweight diamond ripstop polyester for exceptional durability and tear resistance.
- Features a dedicated padded laptop compartment that fits laptops up to 13 inches.
- Spacious main compartment offers ample room for documents, accessories, and everyday essentials.
- Includes a front vertical zippered pocket with internal slip and zippered mesh pockets for organized storage.
- Equipped with Hyplon buckle attachments and front webbing loops for added utility and gear attachment.
- Side compression straps help stabilize the load and maintain a compact profile.
- Padded shoulder straps and a comfortable carry handle ensure ease of carrying throughout the day.
- Lightweight yet rugged construction makes it ideal for daily commuting, business travel, office use, and outdoor activities.
- Product dimensions: 32 × 48 × 22 cm.
- Available in Black.
- Suitable for corporate branding, promotional gifting, and custom logo personalization.",25,18,1680,2800,FALSE,https://cdn.store.link/products/store18473/kxuh0m-travelxoxo--izalco-casual-backpack.jpg?versionId=qElzH8ioucuilhhT7dzYu2D9oabmzl1v,7,TRUE,6,,,
CSUN-3348,travelxoxo Transit Backpack,Backpacks,Backpacks,"Brand: travelXOXO

- Spacious padded laptop compartment provides secure storage for your laptop and daily essentials.
- Features a 180° flat-opening design for easy packing, organization, and quick access.
- Front flap with secure strap lock offers added protection for stored belongings.
- Durable construction with premium zippers ensures long-lasting performance.
- Ergonomic shoulder straps with adjustable buckles provide a comfortable carrying experience.
- Silicone top grab handle allows for convenient hand carrying.
- Streamlined, minimalist design suitable for work, travel, and everyday commuting.
- Spacious interior accommodates documents, accessories, and other essentials with ease.
- Crafted for both professional and travel use, combining functionality with modern style.
- Dimensions: 42 (H) × 26 (W) × 15.5 (D) cm.",25,18,3360,5600,FALSE,https://cdn.store.link/products/store18473/finsfz-travelxoxo-transit-backpack.jpg?versionId=zlSYQ8LXoIWVXgp2VvtsCILOdoBbZIWy,7,TRUE,7,,,New Joinee Program
AQUA-001,Aquaminder Thames+,Drinkware,Drinkware,"Brand- Aquaminder

- Smart stainless steel vacuum flask designed for temperature retention and app-enabled hydration tracking
- Made using premium SS304 stainless steel for enhanced durability, hygiene and long-term performance
- 600 ml storage capacity suitable for office use, workouts, commuting and travel requirements
- Bluetooth-enabled smart technology connects with the Aquaminder mobile application for hydration tracking
- Supports customised hydration schedules and reminder notifications for healthier daily water intake
- Massive 15-day battery backup with USB-C charging ensures uninterrupted smart functionality
- Double-wall vacuum insulation maintains beverage temperatures for both hot and cold drinks
- Illuminated smart reminder feature helps users maintain regular hydration habits throughout the day
- Minimal and modern bottle design available in multiple colour variants for different style preferences
- Leak-resistant cap construction ensures safe portability and convenient everyday use
- Lightweight and durable structure suitable for professional, fitness and travel environments",25,18,3599,4499,TRUE,https://cdn.store.link/products/store18473/ndu25v-aquaminder-thames-%20.jpg?versionId=Gyyk6XDMkjPhvDdryQeEgdXsBIE8dcNt,14,TRUE,8,,,
BOTALL-015,BOT-ALL Beat Insulated Bottle With Bluetooth Speaker - Black,Drinkware,Drinkware,"Brand: BOT-ALL


- Capacity: 700 Milliliters
- Colour: Black
- Special Feature: Portable
- Age Range: Adult
- Features a next-gen design with a wireless detachable Bluetooth speaker and lid lock mechanism
- Double wall vacuum insulation for better temperature retention; keeps hot drinks warm up to 12 hours and cold drinks cool up to 18 hours
- In-built lid lock prevents accidental opening, making it suitable for both indoor and outdoor use
- Detachable Bluetooth speaker allows you to play music and take calls on the go; compatible with iOS, Android, and tablets",25,18,2639,3299,FALSE,https://cdn.store.link/products/store18473/vuldcz-csun-0752.jpg?versionId=7VqI1cC_cXPX8rtXkrCv9xOFc5bSDlYn,7,TRUE,9,,,
