sku,name,old_base_price,old_tier_unit_price,list_price_applied
ARTIS-001,Artistix Avian Laptop Backpack,3359,3359,4199
OW-NMDBLK,"Nomad Laptop Backpack for Laptops up to 15.6"" with Integrated Dual USB Type-C Fast-Charging Upto 35 Watts (Black)",4239,4239,5299
MOKO-018,Transit Backpack,7199,7199,8999
CSUN-0273,travelXOXO Aksa Laptop Backpack,1050,1050,1750
CSUN-1220,travelXOXO Bounce Roll Top Backpack - Grey,1620,1620,2700
CSUN-3350,travelXOXO Canvas Stylish Backpack,2130,2130,3550
CSUN-3340,travelXOXO Izalco Casual Backpack,1680,1680,2800
CSUN-3348,travelxoxo Transit Backpack,3360,3360,5600
AQUA-001,Aquaminder Thames+,3599,3599,4499
BOTALL-015,BOT-ALL Beat Insulated Bottle With Bluetooth Speaker - Black,2639,2639,3299
ADAL-048,Bamboo Steel Bottle,930,930,1550
UG-DB65,Hydromonk Cork Ceramic Mug With Cork Base - Black,479,479,599
UG 02,Hydromonk Eco Cork - Wheat Fibre Eco Friendly Mug - Beige,275,275,550
CSUN-0226,Hydromonk Plain Ceramic Mug - White,190,190,300
URBAN-296,Hydromonk Smart Vacuum Flask - White,1000,1000,1250
CSUN-0081,Hydromonk Ultra Pre Hot & Cold Bottle - Matt II - Black,900,900,1500
CSUN-0082,Hydromonk Ultra Pre Hot & Cold Bottle - Matt II - White,900,900,1500
CSUN-0063,Stainless Steel Travel Mug - TOBY - Black,495,495,825
URBAN-156,Urban Gear Sigma Stainless Steel Sports Bottle - Blue,400,400,499
URBAN-322,Urban Gear iBamboo Bamboo Mug,159,159,199
OW-GPOMNPKBLK,Okami Omnipack Dawn-to-Dusk Duffle Bag | 35 litres Gym&Travel Bag with Detachable Strap | Weekender Travel Bag with Built-in Laptop and Tablet Compartment | Cabin Bag with Trolley Sleeve (Black),5599,5599,6999
CSUN-0265,travelXOXO Adventure Duffle Bag,735,735,1225
CSUN-3668,travelXOXO Base Camp Voyager Duffle Bag - 35  L - Black/Blue,3150,3150,5250
Smoor Cookies,Smoor Cookies,136,136,170
Smoor Strawberrry Nougat Bar Pack of 15 Bar Gift Pack (15 x 24 g),Smoor Strawberrry Nougat Bar Pack of 15 Bar Gift Pack (15 x 24 g),359,359,449
CSUN-3652,SOIL Camp Formal Shirt,4350,4350,7250
OTOMM-013,Amazon Echo Dot (5th Gen),4399,4399,5499
OTOMM-015,Apple Watch Ultra 3,71920,71920,89900
6111990716,Daily Objects Loop Qi2-Certified MagSafe-Compatible Aluminium Power Bank 5000 mAh - Black,5599,5599,6999
JBL-051,"JBL
TOUR ONE
MK3 SMART TX",31999,31999,39999
CSUN-0139,Pop Socket Basic PopGrip - White,30,30,50
CSUN-3478,Beanie Cap,495,495,825
CSUN-0698,Beanie Cap,495,495,825
CSUN-0631,OMG Twill Cap 5 Panel - Royal Blue,195,195,325
CSUN-3629,OMG Twill Cap 6 Panel,195,195,325
CSUN-3480,OMG Twill Cap 6 Panel - Black,195,195,325
CSUN-3481,OMG Twill Cap 6 Panel - Navy Blue,195,195,325
CSUN-1312,3 in 1 Scented Mini Jar Candles - Hridaya,220,220,275
NA,Himalayan Intimate Wipes,40,40,50
CSUN-0350,MDF Wooden Jigsaw Puzzle,1140,1140,1900
NA120/00,Philips 1000 series Airfryer 4.2L,4796,4796,5995
Phool Handmade Ceramic Lotus Diyas,Phool Handmade Ceramic Lotus Diyas,150,150,185
Phool Incense Cones,Phool Incense Cones,115,115,145
CSUN-3671,SOIL Eco Coaster,420,420,700
CSUN-0353,SOIL Photo Frame Click Tilt,285,285,475
CSUN-0307,Supersoft Fleece Blanket - White,2250,2250,3750
COLU-001,Columbia Men Black Fast Trek Overlay Fleece Jacket,3599,3599,4499
CSUN-3390,ET-TU Primelayer zip up jacket Men’s,3285,3285,5475
CSUN-3440,ET-TU Unisex Recycled No Zip Hooodie - Black,2280,2280,3800
CSUN-1538,ET-TU Unisex Recycled No Zip Hooodie - Black,2280,2280,3800
JAJO-089,Jack & Jones Kornad Puffer Jacket - Black,3600,3600,4499
MONT-039,Monet Carlo Bonded Fleece Jacket,3199,3199,3999
CSUN-0356,OMG Unisex Full Zipper Hoodie - Black,1650,1650,2750
CSUN-0357,OMG Unisex Full Zipper Hoodie - Black White Grey,1650,1650,2750
RARE-071,Rare Rabbit Unisex Bonded Fleece Jacket,3200,3200,3999
CSUN-1429,Stormtech Men's Full Sleeve Jacket- Black,5278,5278,10556
CSUN-0901,SOIL Kraft Paper 2 fold Card,75,75,125
CSUN-1281,SOIL Notecard - Custom,75,75,125
CSUN-0315,SOIL Vinyl Sticker,60,60,100
CSUN-0123,SOIL ECO Cover Journal,600,600,1000
CSUN-1556,SOIL Eco Cashier Notebook - Kraft,345,345,575
CSUN-0702,SOIL Eco Hard Cover Spiral Notebook - I - Black,375,375,625
CSUN-1311,SOIL Eco Single Meeting Notebook - Blue,165,165,275
CSUN-0277,SOIL Softcover Journal - Black,600,600,1000
CSUN-3414,Soil Soft Cover Journal,262,262,525
URBAN-210,Urban Gear Capri R-Pet Premium Notebook - Grey,319,319,399
CSUN-3512,Certificate frame,1500,1500,2500
CSUN-1282,Certificates,105,105,175
CSUN-3527,Custom Full Color Lanyard,75,75,125
CSUN-0306,Custom Full Color Lanyard - Black,66,66,110
CSUN-3417,Custom Full Color Lanyard - Black,66,66,110
CSUN-3584,Custom Full Color Lanyard - Black,66,66,110
CSUN-0314,Flag With Wooden Base,900,900,1500
CSUN-0905,SOIL Canvas Pencil Case,195,195,325
CSUN-0345,SOIL Wooden Desk Caddy,1650,1650,2750
CSUN-0344,SOIL Wooden Phone Stand,345,345,575
CSUN-1610,SOIL Wooden Wire Manager,345,345,575
CSUN-3568,Silicone Mouse Pad - Rectangular,165,165,275
CSUN-0875,Silicone Mousepad - Round,195,195,325
SATR-003,Wooden Plaques,600,600,1200
ZKMPL-001,Agent Socks,435,435,725
Bib  Gucci,Bib  Gucci,315,315,525
Infant Bodysuit - Set of 1,Infant Bodysuit - Set of 1,660,660,1100
CSUN-1485,Crinkle Paper - Brown,45,45,75
CSUN-1490,Crinkle Paper - Full White,30,30,50
CSUN-1488,Crinkle Paper - Green,45,45,75
CSUN-1484,Crinkle Paper - Light Blue,45,45,75
CSUN-1487,Crinkle Paper - Yellow,45,45,75
CSUN-1482,Crinkle paper- Red,45,45,75
CSUN-3428,Magnetic Flip Top Gift Box,650,650,1300
CSUN-0064,Elegant Bamboo Pen,105,105,175
ADAL-045,Ivory Click Shinning Ballpoint Pen,135,135,225
ADAL-012,Ivory Pen,135,135,225
CSUN-0941,KRETA Metal Ball Pen - Black,45,45,75
CSUN-0948,SOIL Plantable Seed Pencils-Box Of 12,450,450,750
CSUN-0124,SOIL Recycled Kraft Pens - Green,165,165,275
G2932251-5,Sheaffer 100 with A5 Notebook Gift Set,3116,3116,3895
CSUN-0285,Super Hit Matt Senator Pen - White,30,30,50
CSUN-3494,Tesla Classic Ball Pen,105,105,175
CSUN-3382,ET-TU Carara Polo T-Shirt,1920,1920,3200
CSUN-0002,ET-TU Unisex Technical Performance Polo T-Shirt - Rama Blue,1575,1575,2625
CSUN-1015,OMG Endurance Men's In & Out Polo T-Shirt - Navy Blue,855,855,1425
SKEC-001,Skechers Polo T-Shirt,1599,1599,1999
760038A,GILDAN Softstyle Midweight Adult T-Shirt - Sand,540,540,900
CSUN-1572,OMG Endurance Men's Round Neck T-Shirt - Light Blue,630,630,1050
CSUN-0090,OMG Endurance Roundneck T-Shirt - Royal Blue,600,600,1000
CSUN-1527,OMG Endurance Unisex Round Neck T-Shirt - Black Melange,585,585,975
CSUN-1290,OMG Endurance Unisex Round Neck T-Shirt - Navy Blue,600,600,1000
CSUN-0978,OMG Endurance Unisex Roundneck T-Shirt - Black Heather,630,630,1050
CSUN-1580,Neoprene Tote Bag - Black,1620,1620,2700
OW-ZPBLU,Okami ZenPack LITE Laptop Messenger Bag X Briefcase with USB Fast-Charging for Laptops up to 15.6 inches (Kyoto Black),3999,3999,4999
CSUN-1133,SOIL Canvas Tote Bag - Natural,420,420,700
CSUN-1165,SOIL Two Tone Canvas Drawstring Backpack,375,375,625
BACK-060,The Backbencher Texas Laptop Bag,2319,2319,2899
CSUN-0296,travelXOXO Drawstring Bag - Mesh Window - Black,435,435,725
FW2 (1) XX 001,American Tourister Sprint,7040,7040,8800
CSUN-0908,SOIL Canvas Single Zip Pouch,195,195,325
SWISS-037,Swiss Military Starkey Hard Top Trolley Luggage,7199,7199,8999
CSUN-0177,travelXOXO Ladies Hanging Cosmetic Bag,825,825,1375
CSUN-0379,travelXOXO X-POD Sling Pack,1485,1485,2475
